epoch,loss,accuracy,val_loss,val_accuracy
0,0.5403310656547546,0.9313125014305115,0.10812606662511826,0.9666666388511658
1,0.07079766690731049,0.9781666398048401,0.1006576269865036,0.9705833196640015
2,0.04657214507460594,0.9851041436195374,0.08637463301420212,0.9750000238418579
3,0.039788868278265,0.9870625138282776,0.07962962239980698,0.9789166450500488
4,0.03524525836110115,0.9887708425521851,0.07789783924818039,0.9819166660308838
5,0.03444064408540726,0.9892500042915344,0.08934692293405533,0.981166660785675
6,0.03651582449674606,0.9894375205039978,0.09341873228549957,0.9781666398048401
7,0.028582794591784477,0.9915624856948853,0.09037327766418457,0.9805833101272583
8,0.03593245521187782,0.9900000095367432,0.09114649146795273,0.9817500114440918
9,0.02612186223268509,0.9923333525657654,0.11705628782510757,0.9782500267028809
10,0.028440192341804504,0.992145836353302,0.09060246497392654,0.9837499856948853
11,0.024458739906549454,0.9933958053588867,0.08782847225666046,0.9824166893959045
12,0.021433940157294273,0.9941666722297668,0.12158779799938202,0.9816666841506958
13,0.026370760053396225,0.9931874871253967,0.14512769877910614,0.9786666631698608
14,0.02063686028122902,0.9950416684150696,0.12508955597877502,0.984499990940094
15,0.027672307565808296,0.9936041831970215,0.10729943960905075,0.98458331823349
16,0.01970420405268669,0.9950000047683716,0.12610019743442535,0.98416668176651
17,0.01911935955286026,0.995479166507721,0.1087016686797142,0.9865000247955322
18,0.019689209759235382,0.9957916736602783,0.15318280458450317,0.9826666712760925
19,0.023964930325746536,0.9945833086967468,0.17074385285377502,0.9827499985694885
